

Measurement ID,802
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit001
Program,1792 - Turnigy_CyclesA
Start Time,5/21/2019 10:21:22 AM
End Time,5/23/2019 3:55:52 AM
Test section,Mixed1
Comment,10degC
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
5/22/2019 3:21:35 PM,56,TABLE,29:00:06.332,00:00:01.264,1,1,Turnigy_CyclesA,4.2003,-0.0102,10.3055,-0.0000,-0.0000,6.0000,
5/22/2019 3:21:35 PM,56,TABLE,29:00:06.433,00:00:01.365,1,1,Turnigy_CyclesA,4.2001,-0.0741,10.3055,-0.0000,-0.0000,6.0000,
5/22/2019 3:21:35 PM,56,TABLE,29:00:06.535,00:00:01.467,1,1,Turnigy_CyclesA,4.2000,-0.0868,10.3055,-0.0000,-0.0000,6.0000,
5/22/2019 3:21:35 PM,56,TABLE,29:00:06.636,00:00:01.568,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0000,6.0000,
5/22/2019 3:21:35 PM,56,TABLE,29:00:06.736,00:00:01.668,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0000,6.0000,
5/22/2019 3:21:35 PM,56,TABLE,29:00:06.836,00:00:01.768,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0000,6.0000,
5/22/2019 3:21:35 PM,56,TABLE,29:00:06.940,00:00:01.872,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.041,00:00:01.973,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.139,00:00:02.071,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.230,00:00:02.162,1,1,Turnigy_CyclesA,4.2000,-0.0945,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.341,00:00:02.273,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.439,00:00:02.371,1,1,Turnigy_CyclesA,4.2000,-0.0945,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.531,00:00:02.463,1,1,Turnigy_CyclesA,4.2000,-0.0945,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.631,00:00:02.563,1,1,Turnigy_CyclesA,4.2000,-0.0945,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.741,00:00:02.673,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0001,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.834,00:00:02.766,1,1,Turnigy_CyclesA,4.2000,-0.0919,10.3055,-0.0000,-0.0002,6.0000,
5/22/2019 3:21:36 PM,56,TABLE,29:00:07.935,00:00:02.867,1,1,Turnigy_CyclesA,4.1998,-0.0919,10.3055,-0.0000,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.035,00:00:02.967,1,1,Turnigy_CyclesA,4.1998,-0.0919,10.3055,-0.0000,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.137,00:00:03.069,1,1,Turnigy_CyclesA,4.1998,-0.0919,10.3055,-0.0000,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.238,00:00:03.170,1,1,Turnigy_CyclesA,4.1998,-0.0919,10.3055,-0.0000,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.328,00:00:03.260,1,1,Turnigy_CyclesA,4.1998,-0.0945,10.3055,-0.0001,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.440,00:00:03.372,1,1,Turnigy_CyclesA,4.1998,-0.0919,10.3055,-0.0001,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.540,00:00:03.472,1,1,Turnigy_CyclesA,4.1998,-0.0919,10.3055,-0.0001,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.630,00:00:03.562,1,1,Turnigy_CyclesA,4.1998,-0.0945,10.3055,-0.0001,-0.0002,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.730,00:00:03.662,1,1,Turnigy_CyclesA,4.1998,-0.0945,10.3055,-0.0001,-0.0003,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.830,00:00:03.762,1,1,Turnigy_CyclesA,4.1998,-0.0945,10.3055,-0.0001,-0.0003,6.0000,
5/22/2019 3:21:37 PM,56,TABLE,29:00:08.931,00:00:03.863,1,1,Turnigy_CyclesA,4.1998,-0.0945,10.3055,-0.0001,-0.0003,6.0000,
