

Measurement ID,806
Battery Name,Turnigy_5Ah_91198-SN1
Battery Type,Li-ion
Circuit,Circuit001
Program,1790 - Turnigy_CyclesB
Start Time,5/23/2019 3:56:04 AM
End Time,5/24/2019 11:08:58 PM
Test section,Mixed8
Comment,
OrderNo,
Producer,Turnigy
Type,Li-ion
Nominal Voltage,3.7
Nominal Current,5
Nominal Capacity,5
Cells,1
Maximum Voltage,4.2
Gassing Voltage,0
Break Voltage,0
Charge Factor,0
Impedance,0.001
Cold Cranking Current,0
Energy Density,0
Comment,Temperature sensor on center of cell face



Time Stamp,Step,Status,Prog Time,Step Time,Cycle,Cycle Level,Procedure,Voltage,Current,Temperature,Capacity,WhAccu,Cnt,
[M/d/yyyy h:mm:ss tt],[],[],[hh:mm:ss.ttt],[hh:mm:ss.ttt],[],[],[],[V],[A],[C],[Ah],[Wh],[Cnt],
5/24/2019 2:16:11 PM,64,TABLE,34:20:00.660,00:00:01.225,1,1,Turnigy_CyclesB,4.2000,-1.3588,10.5159,-0.0000,-0.0000,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:00.760,00:00:01.325,1,1,Turnigy_CyclesB,4.1980,-1.1340,10.4107,-0.0000,-0.0001,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:00.860,00:00:01.425,1,1,Turnigy_CyclesB,4.1968,-1.0574,10.4107,-0.0001,-0.0003,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:00.963,00:00:01.528,1,1,Turnigy_CyclesB,4.1963,-1.0395,10.5159,-0.0001,-0.0004,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:01.063,00:00:01.628,1,1,Turnigy_CyclesB,4.1961,-1.0344,10.5159,-0.0001,-0.0005,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:01.164,00:00:01.729,1,1,Turnigy_CyclesB,4.1959,-1.0319,10.5159,-0.0001,-0.0006,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:01.267,00:00:01.832,1,1,Turnigy_CyclesB,4.1958,-1.0344,10.5159,-0.0002,-0.0007,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:01.367,00:00:01.932,1,1,Turnigy_CyclesB,4.1956,-1.0344,10.5159,-0.0002,-0.0009,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:01.469,00:00:02.034,1,1,Turnigy_CyclesB,4.1954,-1.0344,10.5159,-0.0002,-0.0010,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:01.570,00:00:02.135,1,1,Turnigy_CyclesB,4.1954,-1.0344,10.5159,-0.0003,-0.0011,7.0000,
5/24/2019 2:16:12 PM,64,TABLE,34:20:01.658,00:00:02.223,1,1,Turnigy_CyclesB,4.1954,-1.0344,10.5159,-0.0003,-0.0012,7.0000,
5/24/2019 2:16:13 PM,64,TABLE,34:20:01.758,00:00:02.323,1,1,Turnigy_CyclesB,4.1954,-0.9986,10.4107,-0.0003,-0.0013,7.0000,
5/24/2019 2:16:13 PM,64,TABLE,34:20:01.855,00:00:02.420,1,1,Turnigy_CyclesB,4.1954,-0.9884,10.4107,-0.0003,-0.0015,7.0000,
5/24/2019 2:16:13 PM,64,TABLE,34:20:01.960,00:00:02.525,1,1,Turnigy_CyclesB,4.1953,-0.9833,10.4107,-0.0004,-0.0016,7.0000,
5/24/2019 2:16:13 PM,64,TABLE,34:20:02.060,00:00:02.625,1,1,Turnigy_CyclesB,4.1953,-0.9833,10.4107,-0.0004,-0.0017,7.0000,
5/24/2019 2:16:13 PM,64,TABLE,34:20:02.162,00:00:02.727,1,1,Turnigy_CyclesB,4.1953,-0.9833,10.4107,-0.0004,-0.0018,7.0000,
5/24/2019 2:16:13 PM,64,TABLE,34:20:02.262,00:00:02.827,1,1,Turnigy_CyclesB,4.1951,-0.9833,10.4107,-0.0005,-0.0019,7.0000,
